problem_statement,distribution
A coin is flipped 51 times. What is the probability of getting exactly 33 heads?,binomial
A coin is flipped 38 times. What is the probability of getting exactly 52 heads?,binomial
A coin is flipped 80 times. What is the probability of getting exactly 67 heads?,binomial
A coin is flipped 96 times. What is the probability of getting exactly 96 heads?,binomial
A coin is flipped 93 times. What is the probability of getting exactly 87 heads?,binomial
A coin is flipped 28 times. What is the probability of getting exactly 16 heads?,binomial
A factory tests 40 items with a 36% defect rate. What is the probability of exactly 18 defective items?,binomial
A coin is flipped 70 times. What is the probability of getting exactly 88 heads?,binomial
A factory tests 52 items with a 83% defect rate. What is the probability of exactly 86 defective items?,binomial
A coin is flipped 49 times. What is the probability of getting exactly 75 heads?,binomial
A factory tests 41 items with a 29% defect rate. What is the probability of exactly 37 defective items?,binomial
A factory tests 17 items with a 87% defect rate. What is the probability of exactly 10 defective items?,binomial
A factory tests 45 items with a 57% defect rate. What is the probability of exactly 47 defective items?,binomial
A factory tests 21 items with a 69% defect rate. What is the probability of exactly 9 defective items?,binomial
A factory tests 9 items with a 61% defect rate. What is the probability of exactly 24 defective items?,binomial
A coin is flipped 79 times. What is the probability of getting exactly 23 heads?,binomial
A coin is flipped 8 times. What is the probability of getting exactly 37 heads?,binomial
A coin is flipped 72 times. What is the probability of getting exactly 90 heads?,binomial
A factory tests 47 items with a 85% defect rate. What is the probability of exactly 51 defective items?,binomial
A coin is flipped 60 times. What is the probability of getting exactly 18 heads?,binomial
A coin is flipped 35 times. What is the probability of getting exactly 13 heads?,binomial
A factory tests 100 items with a 97% defect rate. What is the probability of exactly 98 defective items?,binomial
A coin is flipped 31 times. What is the probability of getting exactly 48 heads?,binomial
A coin is flipped 43 times. What is the probability of getting exactly 67 heads?,binomial
A coin is flipped 28 times. What is the probability of getting exactly 78 heads?,binomial
A coin is flipped 32 times. What is the probability of getting exactly 8 heads?,binomial
A factory tests 26 items with a 25% defect rate. What is the probability of exactly 32 defective items?,binomial
A coin is flipped 83 times. What is the probability of getting exactly 42 heads?,binomial
A coin is flipped 47 times. What is the probability of getting exactly 85 heads?,binomial
A coin is flipped 10 times. What is the probability of getting exactly 22 heads?,binomial
A factory tests 48 items with a 18% defect rate. What is the probability of exactly 76 defective items?,binomial
A factory tests 90 items with a 43% defect rate. What is the probability of exactly 79 defective items?,binomial
A coin is flipped 96 times. What is the probability of getting exactly 87 heads?,binomial
A call center receives 94 calls per minute. What is the probability of exactly 34 calls?,poisson
A shop gets 14 customers per hour. What is the probability that 46 customers arrive in an hour?,poisson
A shop gets 43 customers per hour. What is the probability that 97 customers arrive in an hour?,poisson
A shop gets 62 customers per hour. What is the probability that 33 customers arrive in an hour?,poisson
A call center receives 59 calls per minute. What is the probability of exactly 57 calls?,poisson
A call center receives 22 calls per minute. What is the probability of exactly 39 calls?,poisson
A call center receives 12 calls per minute. What is the probability of exactly 65 calls?,poisson
A call center receives 44 calls per minute. What is the probability of exactly 86 calls?,poisson
A call center receives 96 calls per minute. What is the probability of exactly 31 calls?,poisson
A call center receives 97 calls per minute. What is the probability of exactly 21 calls?,poisson
A shop gets 35 customers per hour. What is the probability that 7 customers arrive in an hour?,poisson
